elementName,table,variableName,defaultValue,inputSources,labInputs,processingFunction
Limoilou Sud,SiteMeasure,accessToLocalHA,FALSE,,,
Limoilou Sud,SiteMeasure,accessToProvHA,FALSE,,,
Limoilou Sud,SiteMeasure,accessToOtherProv,FALSE,,,
Limoilou Sud,SiteMeasure,accessToDetails,FALSE,,,
Limoilou Sud,SiteMeasure,notes,This is an approximation of this sector's contribution based on a 1/3 - 2/3 split of the total weir flow,,,
Temp Ouest,SiteMeasure,siteMeasureID,,lab sheet,__const__QC_02:str;C;__const__wwTemp:str,get_qc_sensor_site_measure_id
Temp Ouest,SiteMeasure,siteID,QC_02,,,
Temp Ouest,SiteMeasure,instrumentID,QUETPTE.STOUS.W1TIT100,,,
Temp Ouest,SiteMeasure,sampleID,,,,
Temp Ouest,SiteMeasure,reporterID,CityQc,,,
Temp Ouest,SiteMeasure,dateTime,,lab sheet,C,get_date
Temp Ouest,SiteMeasure,type,wwTemp,lab sheet,,
Temp Ouest,SiteMeasure,aggregation,single,,,
Temp Ouest,SiteMeasure,aggregationDesc,,,,
Temp Ouest,SiteMeasure,value,,lab sheet,K,
Temp Ouest,SiteMeasure,unit,°C,,,
Temp Ouest,SiteMeasure,accessToPublic,FALSE,,,
Temp Ouest,SiteMeasure,accessToAllOrg,FALSE,,,
Temp Ouest,SiteMeasure,accessToPHAC,FALSE,,,
Temp Ouest,SiteMeasure,accessToLocalHA,FALSE,,,
Temp Ouest,SiteMeasure,accessToProvHA,FALSE,,,
Temp Ouest,SiteMeasure,accessToOtherProv,FALSE,,,
Temp Ouest,SiteMeasure,accessToDetails,FALSE,,,
Temp Ouest,SiteMeasure,notes,,,,
pH Ouest,SiteMeasure,siteMeasureID,,lab sheet,__const__QC_02:str;C;__const__wwpH:str,get_qc_sensor_site_measure_id
pH Ouest,SiteMeasure,siteID,QC_02,,,
pH Ouest,SiteMeasure,instrumentID,QUETPTE.STOUS.W1AIT100,,,
pH Ouest,SiteMeasure,sampleID,,,,
pH Ouest,SiteMeasure,reporterID,CityQc,,,
pH Ouest,SiteMeasure,dateTime,,lab sheet,C,get_date
pH Ouest,SiteMeasure,type,wwPh,lab sheet,,
pH Ouest,SiteMeasure,aggregation,single,,,
pH Ouest,SiteMeasure,aggregationDesc,,,,
pH Ouest,SiteMeasure,value,,lab sheet,L,
pH Ouest,SiteMeasure,unit,pH,,,
pH Ouest,SiteMeasure,accessToPublic,FALSE,,,
pH Ouest,SiteMeasure,accessToAllOrg,FALSE,,,
pH Ouest,SiteMeasure,accessToPHAC,FALSE,,,
pH Ouest,SiteMeasure,accessToLocalHA,FALSE,,,
pH Ouest,SiteMeasure,accessToProvHA,FALSE,,,
pH Ouest,SiteMeasure,accessToOtherProv,FALSE,,,
pH Ouest,SiteMeasure,accessToDetails,FALSE,,,
pH Ouest,SiteMeasure,notes,,,,
Flow Ouest,SiteMeasure,siteMeasureID,,lab sheet,__const__QC_02:str;C;__const__wwFlow:str,get_qc_sensor_site_measure_id
Flow Ouest,SiteMeasure,siteID,QC_02,,,
Flow Ouest,SiteMeasure,instrumentID,QUETPTE.STOUS.W0FI001,,,
Flow Ouest,SiteMeasure,sampleID,,,,
Flow Ouest,SiteMeasure,reporterID,CityQc,,,
Flow Ouest,SiteMeasure,dateTime,,lab sheet,C,get_date
Flow Ouest,SiteMeasure,type,wwFlow,lab sheet,,
Flow Ouest,SiteMeasure,aggregation,single,,,
Flow Ouest,SiteMeasure,aggregationDesc,,,,
Flow Ouest,SiteMeasure,value,,lab sheet,M,
Flow Ouest,SiteMeasure,unit,m3h,,,
Flow Ouest,SiteMeasure,accessToPublic,FALSE,,,
Flow Ouest,SiteMeasure,accessToAllOrg,FALSE,,,
Flow Ouest,SiteMeasure,accessToPHAC,FALSE,,,
Flow Ouest,SiteMeasure,accessToLocalHA,FALSE,,,
Flow Ouest,SiteMeasure,accessToProvHA,FALSE,,,
Flow Ouest,SiteMeasure,accessToOtherProv,FALSE,,,
Flow Ouest,SiteMeasure,accessToDetails,FALSE,,,
Flow Ouest,SiteMeasure,notes,,,,
