siteMeasureID,siteID,instrumentID,sampleID,reporterID,dateTime,type,aggregation,aggregationDesc,value,unit,accessToPublic,accessToAllOrg,accessToPHAC,accessToLocalHA,accessToProvHA,accessToOtherProv,accessToDetails,notes
quebec_ouest_wwtp_envrnf_2020-08-01,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-01,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-08-02,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-02,envrnf,single,cumulative rainfall in one day.,18.2,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-08-03,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-03,envrnf,single,cumulative rainfall in one day.,10.8,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-08-04,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-04,envrnf,single,cumulative rainfall in one day.,38.9,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-08-05,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-05,envrnf,single,cumulative rainfall in one day.,43.6,mm,True,yes,True,True,True,True,True,tempête isaias en soirée
quebec_ouest_wwtp_envrnf_2020-08-06,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-06,envrnf,single,cumulative rainfall in one day.,2.0,mm,True,yes,True,True,True,True,True,fermeture dégrilleur 5 et 8 pour désensablement
quebec_ouest_wwtp_envrnf_2020-08-07,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-07,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-08-08,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-08,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-08-09,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-09,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-08-10,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-10,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-08-11,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-11,envrnf,single,cumulative rainfall in one day.,36.4,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-08-12,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-12,envrnf,single,cumulative rainfall in one day.,0.3,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-08-13,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-13,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-08-14,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-14,envrnf,single,cumulative rainfall in one day.,0.4,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-08-15,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-15,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-08-16,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-16,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
